Device Name,IP Address,Latency (ms),Packet Loss (%),Timestamp
Cloudflare DNS,1.1.1.1,102.894,0.0,2026-05-06 10:27:24
Home Router,172.20.10.1,9.74607,0.0,2026-05-06 10:27:20
My PC,172.20.10.5,0.519514,0.0,2026-05-06 10:27:20
Google DNS,8.8.8.8,53.9157,0.0,2026-05-06 10:27:17
Local Machine,127.0.0.1,0.6845,0.0,2026-05-06 10:27:17
Router1,8.8.8.8,60.7433,0.0,2026-05-06 10:27:14
Localhost,127.0.0.1,0.443697,0.0,2026-05-06 10:27:14
Core Router 01,192.168.1.1,0.0,100.0,2026-05-06 10:27:11
Cloudflare DNS,1.1.1.1,72.9401,0.0,2026-05-06 10:26:53
Home Router,172.20.10.1,9.97806,0.0,2026-05-06 10:26:50
My PC,172.20.10.5,0.75078,0.0,2026-05-06 10:26:50
Google DNS,8.8.8.8,75.0582,0.0,2026-05-06 10:26:47
Local Machine,127.0.0.1,0.586033,0.0,2026-05-06 10:26:47
Router1,8.8.8.8,45.6579,0.0,2026-05-06 10:26:44
Localhost,127.0.0.1,0.795841,0.0,2026-05-06 10:26:44
Core Router 01,192.168.1.1,0.0,100.0,2026-05-06 10:26:41
Cloudflare DNS,1.1.1.1,60.2617,0.0,2026-05-06 10:26:23
Home Router,172.20.10.1,3.98779,0.0,2026-05-06 10:26:20
My PC,172.20.10.5,0.652075,0.0,2026-05-06 10:26:20
Google DNS,8.8.8.8,50.4363,0.0,2026-05-06 10:26:17
Local Machine,127.0.0.1,0.513077,0.0,2026-05-06 10:26:17
Router1,8.8.8.8,52.6111,0.0,2026-05-06 10:26:14
Localhost,127.0.0.1,0.396967,0.0,2026-05-06 10:26:14
Core Router 01,192.168.1.1,0.0,100.0,2026-05-06 10:26:11
Cloudflare DNS,1.1.1.1,44.8763,0.0,2026-05-06 10:25:53
Home Router,172.20.10.1,11.3771,0.0,2026-05-06 10:25:50
My PC,172.20.10.5,0.905514,0.0,2026-05-06 10:25:50
Google DNS,8.8.8.8,108.132,0.0,2026-05-06 10:25:47
Local Machine,127.0.0.1,1.35851,0.0,2026-05-06 10:25:47
Localhost,127.0.0.1,2.62308,0.0,2026-05-06 10:25:44
Router1,8.8.8.8,132.552,0.0,2026-05-06 10:25:43
Core Router 01,192.168.1.1,0.0,100.0,2026-05-06 10:25:40
Cloudflare DNS,1.1.1.1,56.9508,0.0,2026-05-06 10:25:23
Home Router,172.20.10.1,9.42254,0.0,2026-05-06 10:25:20
My PC,172.20.10.5,0.516891,0.0,2026-05-06 10:25:20
Google DNS,8.8.8.8,54.383,0.0,2026-05-06 10:25:16
Local Machine,127.0.0.1,0.555515,0.0,2026-05-06 10:25:16
Router1,8.8.8.8,32.1369,0.0,2026-05-06 10:25:13
Localhost,127.0.0.1,0.720501,0.0,2026-05-06 10:25:13
Core Router 01,192.168.1.1,0.0,100.0,2026-05-06 10:25:10
Cloudflare DNS,1.1.1.1,45.9032,0.0,2026-05-06 10:24:53
Home Router,172.20.10.1,8.51464,0.0,2026-05-06 10:24:50
My PC,172.20.10.5,0.374317,0.0,2026-05-06 10:24:50
Google DNS,8.8.8.8,80.8203,0.0,2026-05-06 10:24:46
Local Machine,127.0.0.1,0.452042,0.0,2026-05-06 10:24:46
Router1,8.8.8.8,44.3072,0.0,2026-05-06 10:24:43
Localhost,127.0.0.1,0.398159,0.0,2026-05-06 10:24:43
Core Router 01,192.168.1.1,0.0,100.0,2026-05-06 10:24:40
Cloudflare DNS,1.1.1.1,53.0028,0.0,2026-05-06 10:24:23
Home Router,172.20.10.1,3.40986,0.0,2026-05-06 10:24:19
My PC,172.20.10.5,0.676394,0.0,2026-05-06 10:24:19
Google DNS,8.8.8.8,31.0252,0.0,2026-05-06 10:24:16
Local Machine,127.0.0.1,0.449181,0.0,2026-05-06 10:24:16
Router1,8.8.8.8,112.14,0.0,2026-05-06 10:24:13
Localhost,127.0.0.1,0.748873,0.0,2026-05-06 10:24:13
Core Router 01,192.168.1.1,0.0,100.0,2026-05-06 10:24:10
Cloudflare DNS,1.1.1.1,38.4951,0.0,2026-05-02 13:37:48
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:37:45
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:37:37
Google DNS,8.8.8.8,36.2842,0.0,2026-05-02 13:37:30
Local Machine,127.0.0.1,0.442982,0.0,2026-05-02 13:37:30
Router1,8.8.8.8,38.6086,0.0,2026-05-02 13:37:27
Localhost,127.0.0.1,0.575066,0.0,2026-05-02 13:37:27
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:37:24
Cloudflare DNS,1.1.1.1,38.2559,0.0,2026-05-02 13:37:07
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:37:04
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:36:57
Google DNS,8.8.8.8,140.79,0.0,2026-05-02 13:36:50
Local Machine,127.0.0.1,0.500917,0.0,2026-05-02 13:36:50
Router1,8.8.8.8,47.365,0.0,2026-05-02 13:36:46
Localhost,127.0.0.1,0.345469,0.0,2026-05-02 13:36:46
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:36:43
Cloudflare DNS,1.1.1.1,45.3315,0.0,2026-05-02 13:36:26
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:36:23
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:36:16
Google DNS,8.8.8.8,36.2947,0.0,2026-05-02 13:36:09
Local Machine,127.0.0.1,0.405073,0.0,2026-05-02 13:36:09
Router1,8.8.8.8,34.5595,0.0,2026-05-02 13:36:06
Localhost,127.0.0.1,0.48542,0.0,2026-05-02 13:36:06
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:36:02
Cloudflare DNS,1.1.1.1,58.1012,0.0,2026-05-02 13:35:45
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:35:42
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:35:35
Google DNS,8.8.8.8,53.4275,0.0,2026-05-02 13:35:28
Local Machine,127.0.0.1,0.647783,0.0,2026-05-02 13:35:28
Localhost,127.0.0.1,0.809193,0.0,2026-05-02 13:35:25
Router1,8.8.8.8,0.0,100.0,2026-05-02 13:35:22
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:35:16
Cloudflare DNS,1.1.1.1,0.0,100.0,2026-05-02 13:35:00
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:34:53
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:34:46
Google DNS,8.8.8.8,0.0,100.0,2026-05-02 13:34:40
Local Machine,127.0.0.1,0.417948,0.0,2026-05-02 13:34:40
Router1,8.8.8.8,0.0,100.0,2026-05-02 13:34:34
Localhost,127.0.0.1,0.429153,0.0,2026-05-02 13:34:34
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:34:28
Cloudflare DNS,1.1.1.1,0.0,100.0,2026-05-02 13:34:13
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:34:07
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:34:03
Google DNS,8.8.8.8,0.0,100.0,2026-05-02 13:33:56
Local Machine,127.0.0.1,0.433922,0.0,2026-05-02 13:33:56
Router1,8.8.8.8,0.0,100.0,2026-05-02 13:33:49
Localhost,127.0.0.1,0.766754,0.0,2026-05-02 13:33:49
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:33:42
Cloudflare DNS,1.1.1.1,0.0,100.0,2026-05-02 13:33:25
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:33:17
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:33:10
Google DNS,8.8.8.8,45.2492,0.0,2026-05-02 13:33:03
Local Machine,127.0.0.1,0.46277,0.0,2026-05-02 13:33:03
Router1,8.8.8.8,29.0504,0.0,2026-05-02 13:33:00
Localhost,127.0.0.1,0.320911,0.0,2026-05-02 13:33:00
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:32:57
Cloudflare DNS,1.1.1.1,35.382,0.0,2026-05-02 13:32:40
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:32:37
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:32:29
Google DNS,8.8.8.8,63.0443,0.0,2026-05-02 13:32:22
Local Machine,127.0.0.1,0.457287,0.0,2026-05-02 13:32:22
Router1,8.8.8.8,31.4906,0.0,2026-05-02 13:32:19
Localhost,127.0.0.1,0.561714,0.0,2026-05-02 13:32:19
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:32:16
Cloudflare DNS,1.1.1.1,118.9,0.0,2026-05-02 13:31:59
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:31:56
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:31:49
Local Machine,127.0.0.1,0.490904,0.0,2026-05-02 13:31:42
Google DNS,8.8.8.8,85.6795,0.0,2026-05-02 13:31:41
Router1,8.8.8.8,96.0343,0.0,2026-05-02 13:31:38
Localhost,127.0.0.1,1.05047,0.0,2026-05-02 13:31:38
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:31:35
Cloudflare DNS,1.1.1.1,45.382,0.0,2026-05-02 13:31:18
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:31:15
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:31:08
Google DNS,8.8.8.8,43.8757,0.0,2026-05-02 13:31:01
Local Machine,127.0.0.1,0.501633,0.0,2026-05-02 13:31:01
Router1,8.8.8.8,124.43,0.0,2026-05-02 13:30:57
Localhost,127.0.0.1,0.420809,0.0,2026-05-02 13:30:57
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:30:54
Cloudflare DNS,1.1.1.1,31.9653,0.0,2026-05-02 13:30:37
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:30:34
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:30:27
Google DNS,8.8.8.8,151.973,0.0,2026-05-02 13:30:20
Local Machine,127.0.0.1,0.452518,0.0,2026-05-02 13:30:20
